,Positie,Team,Games,Winst thuis,Gelijk thuis,Verlies thuis,Doelpunten voor thuis,Doelpunten tegen thuis,Winst uit,Gelijk uit,Verlies uit,Doelpunten voor uit,Doelpunten tegen uit,Doelsaldo,Punten,PPG
0,1,Manchester City,38,18,0,1,57,12,14,2,3,38,11,72,98,2.57
1,2,Liverpool,38,17,2,0,55,10,13,5,1,34,12,67,97,2.55
2,3,Chelsea,38,12,6,1,39,12,9,3,7,24,27,24,72,1.89
3,4,Tottenham Hotspur,38,12,2,5,34,16,11,0,8,33,23,28,71,1.86
4,5,Arsenal,38,14,3,2,42,16,7,4,8,31,35,22,70,1.84
5,6,Manchester United,38,10,6,3,33,25,9,3,7,32,29,11,66,1.73
6,7,Wolverhampton Wanderers,38,10,4,5,28,21,6,5,8,19,25,1,57,1.5
7,8,Everton,38,10,4,5,30,21,5,5,9,24,25,8,54,1.42
8,9,Leicester City,38,8,3,8,24,20,7,4,8,27,28,3,52,1.36
9,10,West Ham United,38,9,4,6,32,27,6,3,10,20,28,-3,52,1.36
10,11,Watford,38,8,3,8,26,28,6,5,8,26,31,-7,50,1.31
11,12,Crystal Palace,38,5,5,9,19,23,9,2,8,32,30,-2,49,1.28
12,13,Newcastle,38,8,1,10,24,25,4,8,7,18,23,-6,45,1.18
13,14,Bournemouth,38,8,5,6,30,25,5,1,13,26,45,-14,45,1.18
14,15,Burnley,38,7,2,10,24,32,4,5,10,21,36,-23,40,1.05
15,16,Southampton,38,5,8,6,27,30,4,4,11,18,35,-20,39,1.02
16,17,Brighton,38,6,5,8,19,28,3,4,12,16,32,-25,36,0.94
17,18,Cardiff,38,6,2,11,21,38,4,2,13,13,31,-35,34,0.89
18,19,Fulham,38,6,3,10,22,36,1,2,16,12,45,-47,26,0.68
19,20,Huddersfield,38,2,3,14,10,31,1,4,14,12,45,-54,16,0.42
