,Wedstrijd,Manchester City,Liverpool,Chelsea,Tottenham Hotspur,Arsenal,Manchester United,Wolverhampton Wanderers,Everton,Leicester City,West Ham United
0,1,3,3,3,3,0,3,1,1,0,0
1,2,6,6,6,6,0,3,1,4,3,0
2,3,7,9,9,9,3,3,2,5,6,0
3,4,10,12,12,9,6,6,5,6,6,0
4,5,13,15,15,9,9,9,8,6,6,3
5,6,16,18,16,12,12,10,9,6,9,4
6,7,19,19,17,15,15,10,12,9,12,7
7,8,20,20,20,18,18,13,15,12,12,7
8,9,23,23,21,21,21,14,15,15,12,7
9,10,26,26,24,21,22,17,15,15,13,8
10,11,29,27,27,24,23,20,15,18,16,11
11,12,32,30,28,27,24,20,16,19,17,12
12,13,35,33,28,30,27,21,16,22,18,12
13,14,38,36,31,30,30,22,16,22,21,15
14,15,41,39,31,33,31,23,19,23,22,18
15,16,41,42,34,36,34,26,22,24,22,21
16,17,44,45,37,39,34,26,25,24,22,24
17,18,44,48,37,42,37,29,25,24,25,24
18,19,44,51,40,45,38,32,26,27,28,27
19,20,47,54,43,45,38,35,29,27,28,27
20,21,50,54,44,48,41,38,29,27,31,28
21,22,53,57,47,48,41,41,29,30,31,31
22,23,56,60,47,51,44,44,32,30,31,31
23,24,56,61,47,54,47,45,35,33,32,31
24,25,59,62,50,57,47,48,38,33,32,32
25,26,62,65,50,60,50,51,39,33,32,33
26,27,65,66,53,60,53,52,40,33,32,36
27,28,68,69,56,60,56,55,40,36,35,36
28,29,71,70,59,61,57,58,43,37,35,39
29,30,74,73,60,61,60,58,44,37,38,39
30,31,77,76,60,64,60,58,47,40,41,42
31,32,80,79,63,64,63,61,47,43,44,42
32,33,83,82,66,67,63,61,50,46,47,42
33,34,86,85,66,70,66,64,50,46,47,42
34,35,89,88,67,70,66,64,51,49,48,43
35,36,92,91,68,70,66,65,54,50,51,46
36,37,95,94,71,70,67,66,57,53,51,49
37,38,98,97,72,71,70,66,57,54,52,52
