,Positie,Team,Games,Winst thuis,Gelijk thuis,Verlies thuis,Doelpunten voor thuis,Doelpunten tegen thuis,Winst uit,Gelijk uit,Verlies uit,Doelpunten voor uit,Doelpunten tegen uit,Doelsaldo,Punten,PPG,Goals,Average Goals Stadium,lat,long
0,1,Manchester City,38,18,0,1,57,12,14,2,3,38,11,72,98,2.57,69.0,3.6315789473684212,53.48327214996806,-2.2003953016353837
1,2,Liverpool,38,17,2,0,55,10,13,5,1,34,12,67,97,2.55,65.0,3.4210526315789473,53.43090602190698,-2.9607978282778036
2,3,Chelsea,38,12,6,1,39,12,9,3,7,24,27,24,72,1.89,51.0,2.6842105263157894,51.48178992879456,-0.1909994171665276
3,4,Tottenham Hotspur,38,12,2,5,34,16,11,0,8,33,23,28,71,1.86,50.0,2.557142857142857,51.60439210508513,-0.06625811716168782
4,5,Arsenal,38,14,3,2,42,16,7,4,8,31,35,22,70,1.84,58.0,3.0526315789473686,51.55502856644973,-0.10843800182009972
5,6,Manchester United,38,10,6,3,33,25,9,3,7,32,29,11,66,1.73,58.0,3.0526315789473686,53.463205831809006,-2.2913017918440266
6,7,Wolverhampton Wanderers,38,10,4,5,28,21,6,5,8,19,25,1,57,1.5,49.0,2.5789473684210527,52.59038602647441,-2.1305575611058063
7,8,Everton,38,10,4,5,30,21,5,5,9,24,25,8,54,1.42,51.0,2.6842105263157894,53.43893397197343,-2.9663407594169264
8,9,Leicester City,38,8,3,8,24,20,7,4,8,27,28,3,52,1.36,44.0,2.3157894736842106,52.620480832057304,-1.1422277181891993
9,10,West Ham United,38,9,4,6,32,27,6,3,10,20,28,-3,52,1.36,59.0,3.1052631578947367,51.53904089379792,-0.016488151666998224
